,country,country_source,period,sex,age_group,Dx_covid_season,population,mx_covid_season
59,Belgium,Belgium (Sciensano),spring 2021,0,85+,768,331923.0,2.3137896439837
60,Belgium,Belgium (Sciensano),spring 2021,1,0-24,1,1582715.0,0.000631825691928111
61,Belgium,Belgium (Sciensano),spring 2021,1,25-44,10,1487749.0,0.00672156391972033
62,Belgium,Belgium (Sciensano),spring 2021,1,45-64,105,1531975.0,0.0685389774637315
63,Belgium,Belgium (Sciensano),spring 2021,1,65-74,218,622638.0,0.350123185542803
64,Belgium,Belgium (Sciensano),spring 2021,1,75-84,374,398246.0,0.939118032572832
65,Belgium,Belgium (Sciensano),spring 2021,1,85+,384,220704.0,1.73988690735102
66,Belgium,Belgium (Sciensano),spring 2021,2,0-24,4,1652210.0,0.00242099975184753
67,Belgium,Belgium (Sciensano),spring 2021,2,25-44,10,1492247.0,0.00670130347053805
68,Belgium,Belgium (Sciensano),spring 2021,2,45-64,225,1545221.0,0.145610239570909
69,Belgium,Belgium (Sciensano),spring 2021,2,65-74,432,571453.0,0.755967682381578
70,Belgium,Belgium (Sciensano),spring 2021,2,75-84,587,304861.0,1.92546767215223
71,Belgium,Belgium (Sciensano),spring 2021,2,85+,384,111219.0,3.4526474792976
72,Belgium,Belgium (Sciensano),summer 2020,0,0-24,3,3236211.5,0.000927009869410575
73,Belgium,Belgium (Sciensano),summer 2020,0,25-44,6,2974313.5,0.00201727222096796
74,Belgium,Belgium (Sciensano),summer 2020,0,45-64,49,3079615.0,0.0159110797940652
75,Belgium,Belgium (Sciensano),summer 2020,0,65-74,88,1182245.0,0.0744346560992011
76,Belgium,Belgium (Sciensano),summer 2020,0,75-84,159,701023.5,0.226811226727777
77,Belgium,Belgium (Sciensano),summer 2020,0,85+,253,333531.0,0.758550179743412
78,Belgium,Belgium (Sciensano),summer 2020,1,0-24,3,1583569.0,0.00189445486745447
79,Belgium,Belgium (Sciensano),summer 2020,1,25-44,2,1484691.0,0.00134708164863935
80,Belgium,Belgium (Sciensano),summer 2020,1,45-64,22,1533799.0,0.0143434700374691
81,Belgium,Belgium (Sciensano),summer 2020,1,65-74,31,616483.0,0.0502852471195475
82,Belgium,Belgium (Sciensano),summer 2020,1,75-84,73,397607.5,0.183598146413234
83,Belgium,Belgium (Sciensano),summer 2020,1,85+,152,222152.5,0.684214672353451
84,Belgium,Belgium (Sciensano),summer 2020,2,0-24,0,1652642.5,0.0
85,Belgium,Belgium (Sciensano),summer 2020,2,25-44,4,1489622.5,0.00268524408029551
86,Belgium,Belgium (Sciensano),summer 2020,2,45-64,27,1545816.0,0.0174665031284448
87,Belgium,Belgium (Sciensano),summer 2020,2,65-74,57,565762.0,0.100749078234311
88,Belgium,Belgium (Sciensano),summer 2020,2,75-84,86,303416.0,0.28343923853719
89,Belgium,Belgium (Sciensano),summer 2020,2,85+,101,111378.5,0.906817743101227
90,Belgium,Belgium (Sciensano),summer 2021,0,0-24,0,3234925.0,0.0
91,Belgium,Belgium (Sciensano),summer 2021,0,25-44,6,2979996.0,0.00201342552137654
92,Belgium,Belgium (Sciensano),summer 2021,0,45-64,75,3077196.0,0.0243728381292579
93,Belgium,Belgium (Sciensano),summer 2021,0,65-74,88,1194091.0,0.0736962258320346
94,Belgium,Belgium (Sciensano),summer 2021,0,75-84,108,703107.0,0.153603932260666
95,Belgium,Belgium (Sciensano),summer 2021,0,85+,133,331923.0,0.400695341991968
96,Belgium,Belgium (Sciensano),summer 2021,1,0-24,0,1582715.0,0.0
97,Belgium,Belgium (Sciensano),summer 2021,1,25-44,4,1487749.0,0.00268862556788813
98,Belgium,Belgium (Sciensano),summer 2021,1,45-64,24,1531975.0,0.01566605199171
99,Belgium,Belgium (Sciensano),summer 2021,1,65-74,25,622638.0,0.0401517414613307
100,Belgium,Belgium (Sciensano),summer 2021,1,75-84,54,398246.0,0.135594582243136
101,Belgium,Belgium (Sciensano),summer 2021,1,85+,72,220704.0,0.326228795128317
102,Belgium,Belgium (Sciensano),summer 2021,2,0-24,0,1652210.0,0.0
103,Belgium,Belgium (Sciensano),summer 2021,2,25-44,2,1492247.0,0.00134026069410761
104,Belgium,Belgium (Sciensano),summer 2021,2,45-64,51,1545221.0,0.0330049876360728
